t,month,EU_model,EU_obs,dEU,Asia_model,Asia_obs,dAsia
-5,Sep,37.0,33.0,4.0,41.9,36.0,5.9
-4,Oct,42.0,34.0,8.0,42.1,37.0,5.1
-3,Nov,35.6,36.0,-0.4,42.0,38.0,4.0
-2,Dec,37.4,38.0,-0.6,42.2,39.0,3.2
-1,Jan,37.8,37.0,0.8,42.6,38.0,4.6
0,Feb,37.7,37.0,0.7,42.5,38.0,4.5
1,Mar,55.0,57.0,-2.0,59.9,63.0,-3.1
2,Apr,51.7,42.0,9.7,56.6,55.5,1.1
3,May,52.8,46.0,6.8,57.7,57.0,0.7
4,Jun,54.0,49.6,4.4,58.8,59.5,-0.7
5,Jul,55.0,,,59.9,,
6,Aug,51.8,,,56.6,,
7,Sep,48.0,,,52.9,,
8,Oct,55.0,,,54.5,,
9,Nov,39.0,,,46.1,,
10,Dec,41.6,,,46.5,,

RMSE_EUR_per_MWh (through Jun 2026),4.4
