t,month,S_EU_model,S_EU_obs,dS_EU,source
-5,Sep,81.6,83.0,-1.4,GIE AGSI+ (approx.)
-4,Oct,83.5,82.0,1.5,GIE AGSI+ (approx.)
-3,Nov,69.2,80.0,-10.8,GIE AGSI+ (approx.)
-2,Dec,54.9,63.0,-8.1,AGSI+/CEEnergyNews (firm)
-1,Jan,42.3,48.0,-5.7,AGSI+ interp. (est.)
0,Feb,30.8,38.0,-7.2,AGSI+ interp. (est.)
1,Mar,30.0,30.0,0.0,Fulwood2026/AGSI+ (firm)
2,Apr,30.0,31.0,-1.0,GIE AGSI+ (approx.)
3,May,37.9,37.0,0.9,GIE AGSI+ (approx.)
4,Jun,46.1,46.0,0.1,GIE AGSI+ (approx.)
8,Oct,80.0,78.0,2.0,Fulwood2026 proj.

storage_RMSE_bcm,5.0
