t,month,status,p_EU,p_Asia,qUSA_EU,qUSA_Asia,qGulf_EU,qGulf_Asia,S_EU,S_EU_obs,S_Asia
-5,Sep,OPEN,37.24,42.1,0.0,11.89,0.0,8.73,80.9,83.0,18.9
-4,Oct,OPEN,37.24,42.1,11.89,0.0,0.0,8.73,84.3,82.0,15.9
-3,Nov,OPEN,37.32,42.17,5.1,6.79,0.0,8.73,75.2,80.0,16.7
-2,Dec,OPEN,37.61,42.47,8.5,3.39,0.0,8.73,57.5,63.0,14.0
-1,Jan,OPEN,37.9,42.76,7.25,4.64,0.0,8.73,45.5,48.0,12.7
0,Feb,OPEN,38.2,43.06,2.45,9.45,0.0,8.73,30.6,38.0,16.1
1,Mar,CLOSED,46.59,51.45,9.45,2.45,0.0,0.0,30.1,30.0,6.0
2,Apr,CLOSED,47.67,52.53,4.34,7.55,0.0,0.0,30.6,31.0,6.0
3,May,CLOSED,48.91,53.77,3.8,8.09,0.0,0.0,37.4,37.0,6.5
4,Jun,CLOSED,50.27,55.13,7.53,4.37,0.0,0.0,49.4,46.0,7.9
5,Jul,CLOSED,51.64,56.5,3.83,8.06,0.0,0.0,58.0,,12.9
6,Aug,CLOSED,52.81,57.67,7.77,4.13,0.0,0.0,70.0,,13.9
7,Sep,OPEN,41.74,46.6,10.69,1.2,0.0,4.37,76.6,,10.8
8,Oct,OPEN,42.0,46.47,11.89,0.0,0.0,7.95,80.0,78.0,10.0
9,Nov,OPEN,41.48,46.34,7.58,4.31,0.0,7.95,73.4,,10.5
10,Dec,OPEN,41.32,46.18,6.55,5.34,0.0,7.95,53.7,,12.0
11,Jan,OPEN,41.14,46.0,7.85,4.04,0.0,7.95,42.3,,10.8
12,Feb,OPEN,41.14,46.0,5.63,6.26,0.0,7.95,30.6,,11.5
